index,URI,Title,Artist,Album,Popularity
84,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya!,Outkast,Speakerboxxx/The Love Below,78
85,spotify:track:6WLS56xiRrXjSm9RSdL3zD,Never Forget You,Zara Larsson,Never Forget You,0
86,spotify:track:1MtUq6Wp1eQ8PC6BbPCj8P,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,"At Night, Alone.",69
87,spotify:track:2vwlzO0Qp8kfEtzTsCXfyE,Wrecking Ball,Miley Cyrus,Bangerz (Deluxe Version),79
88,spotify:track:3DmW6y7wTEYHJZlLo1r6XJ,Shower,Becky G,Shower,73
89,spotify:track:12GEpg2XOPyqk03JZEZnJs,It Ain’t Me (with Selena Gomez),Kygo,It Ain't Me,62
90,spotify:track:5KONnBIQ9LqCxyeSPin26k,Trumpets,Jason Derulo,Talk Dirty,60
91,spotify:track:6Iocm6VMu6bVNYwiDoyQFW,Coming Home,Diddy - Dirty Money,Last Train To Paris,65
92,spotify:track:5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),71
93,spotify:track:6epn3r7S14KUqlReYr77hA,Baby,Justin Bieber,My World 2.0,77
94,spotify:track:49FYlytm3dAAraYgpoJZux,Umbrella,Rihanna,Good Girl Gone Bad: Reloaded,82
95,spotify:track:5vlEg2fT4cFWAqU5QptIpQ,Replay,Iyaz,Replay,69
96,spotify:track:1DqdF42leyFIzqNDv9CjId,Dynamite,Taio Cruz,Rokstarr,62
97,spotify:track:4vp2J1l5RD4gMZwGFLfRAu,I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),2
98,spotify:track:67WTwafOMgegV6ABnBQxcE,Some Nights,fun.,Some Nights,66
99,spotify:track:5IMtdHjJ1OtkxbGe4zfUxQ,Escape (The Pina Colada Song),Rupert Holmes,Partners In Crime,71
100,spotify:track:1LeWIs2hP2r5yOQnVuYoI5,Ain't No Mountain High Enough,Marvin Gaye,United,0
101,spotify:track:5YTtTbqxUzJHD3CpbNHerP,Brighter Than The Sun,Colbie Caillat,All Of You,60
102,spotify:track:6l7tK5SsMlN8a9ccgeIkpS,Sweet Caroline - Single Version,Neil Diamond,In My Lifetime,0
103,spotify:track:4W4wYHtsrgDiivRASVOINL,Love Shack,The B-52's,Cosmic Thing,67
104,spotify:track:05wIrZSwuaVWhcv5FfqeH0,Walking On Sunshine,Katrina & The Waves,Katrina & The Waves,75
105,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,Riptide,Vance Joy,Dream Your Life Away,80
106,spotify:track:2nXM8IVqKtyO6JKsLlXWAy,Ho Hey,The Lumineers,The Lumineers,32
107,spotify:track:3HRQtRUYnnuZY7fE900XtJ,Don't Stop Believin',Journey,80s 100 Hits,58
108,spotify:track:22c2pt75xtnDddA5Zlm0yy,All Star,Smash Mouth,All Star Smash Hits,0
109,spotify:track:5R9a4t5t5O0IsznsrKPVro,Single Ladies (Put a Ring on It),Beyoncé,I AM...SASHA FIERCE,65
110,spotify:track:7ksYJ95P5vP87A0GH34CIk,Ridin' Solo,Jason Derulo,Jason Derulo (Deluxe Audio),52
111,spotify:track:03oZejWqXLbKhhM4iTgShq,What Makes You Beautiful,One Direction,Up All Night,0
112,spotify:track:20I6sIOMTCkB6w7ryavxtO,Call Me Maybe,Carly Rae Jepsen,Kiss,77
113,spotify:track:6RgGppm2SSX5p246UqfdEi,Sweet Home Alabama,Lynyrd Skynyrd,Lynyrd Skynyrd Greatest Hits,0
